GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Mon Projet Maven,fr.univavignon.pokedex.api,Team,0,21,0,0,0,4,0,1,0,1
Mon Projet Maven,fr.univavignon.pokedex.api,PokemonFactory,38,8,0,0,9,2,1,1,1,1
Mon Projet Maven,fr.univavignon.pokedex.api,PokedexException,0,4,0,0,0,2,0,1,0,1
Mon Projet Maven,fr.univavignon.pokedex.api,PokemonMetadataProvider,0,33,1,3,0,6,1,3,0,2
Mon Projet Maven,fr.univavignon.pokedex.api,Pokedex,14,58,0,4,2,15,2,8,2,6
Mon Projet Maven,fr.univavignon.pokedex.api,PokemonMetadata,0,33,0,0,0,12,0,6,0,6
Mon Projet Maven,fr.univavignon.pokedex.api,PokedexFactory,11,0,0,0,2,0,2,0,2,0
Mon Projet Maven,fr.univavignon.pokedex.api,PokemonLoader,6,180,2,6,4,36,2,5,0,3
Mon Projet Maven,fr.univavignon.pokedex.api,PokemonTrainer,0,21,0,0,0,8,0,4,0,4
Mon Projet Maven,fr.univavignon.pokedex.api,PokemonComparators,0,41,0,0,0,8,0,3,0,3
Mon Projet Maven,fr.univavignon.pokedex.api,Pokemon,0,38,0,0,0,12,0,6,0,6
